type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,08:3A:F2:46:92:18,-54,11,0,0,0,0,0,0,0,0,0,-96,0,8,1,34897261,0,157,0,0,35.370615,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 7 -22 3 -33 10 -18 10 -33 8 -16 1 -18 3 -15 8 -25 0 -29 1 -13 8 -20 16 -15 3 -19 8 -24 7 -21 11 -28 10 -27 19 -17 19 -21 19 -16 12 -14 15 -22 7 -21 13 -17 9 -18 11 -22 0 0 12 -19 13 -19 14 -20 11 -17 13 -18 12 -18 12 -18 12 -17 10 -17 11 -16 11 -18 11 -17 10 -17 10 -18 10 -16 10 -19 9 -17 9 -18 9 -17 8 -16 8 -17 7 -16 7 -16 6 -17 5 -16 5 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-64,11,1,7,1,1,1,0,0,0,1,-96,0,8,1,34992314,0,135,0,0,35.465078,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -3 13 -3 13 -4 13 -5 13 -6 12 -6 13 -6 12 -6 12 -6 12 -7 11 -7 12 -7 11 -8 11 -8 10 -8 10 -7 10 -7 10 -7 10 -7 10 -7 10 -7 9 -7 9 -7 9 -7 10 -7 10 -6 9 0 0 -6 9 -6 10 -6 9 -5 9 -5 10 -4 9 -5 10 -4 9 -4 9 -4 9 -4 9 -4 10 -3 10 -3 10 -2 9 -2 9 -2 10 -1 9 -1 9 -1 9 -1 9 0 9 0 10 1 9 1 9 1 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-62,11,1,7,1,1,1,0,0,0,1,-96,0,8,1,35454885,0,390,0,0,35.927508,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 9 -8 10 -8 9 -7 10 -8 10 -7 11 -5 10 -5 10 -6 10 -6 10 -5 11 -4 10 -5 11 -5 10 -5 11 -5 10 -4 11 -4 10 -3 11 -3 10 -3 10 -4 10 -4 10 -3 10 -4 10 -3 10 -4 0 0 10 -3 10 -3 10 -4 9 -3 10 -4 9 -4 9 -4 9 -4 9 -4 8 -4 9 -5 8 -4 9 -4 9 -5 8 -5 8 -6 8 -6 8 -6 8 -7 8 -7 9 -7 8 -7 8 -7 8 -8 8 -8 8 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-66,11,1,7,1,1,1,0,0,0,1,-96,0,8,1,35507299,0,390,0,0,35.979913,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 17 0 17 1 17 2 17 2 17 3 16 4 16 4 16 3 15 4 14 4 15 5 14 5 14 5 13 5 13 5 12 4 12 4 11 4 12 3 11 4 11 3 10 2 10 2 10 2 10 2 10 1 0 0 9 0 9 0 9 0 8 -1 9 -1 9 -2 8 -1 8 -2 8 -2 8 -2 8 -3 7 -3 7 -3 7 -4 7 -4 6 -5 7 -4 6 -5 5 -6 5 -5 5 -6 4 -6 4 -6 4 -6 4 -6 3 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-64,11,1,7,1,1,1,0,0,0,1,-96,0,8,1,35558598,0,82,0,0,36.31186,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -6 14 -7 14 -8 13 -9 14 -9 13 -9 12 -8 12 -9 11 -9 11 -10 11 -10 11 -9 10 -10 10 -10 9 -9 9 -9 9 -9 9 -8 8 -8 9 -7 8 -7 8 -7 8 -7 8 -7 8 -7 8 -7 8 0 0 -6 8 -5 8 -5 8 -5 8 -5 9 -5 9 -4 9 -4 8 -4 9 -4 9 -3 9 -3 9 -3 9 -3 9 -2 9 -2 9 -2 9 -1 9 -2 9 -1 9 -1 9 -1 9 0 9 0 9 1 9 0 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-62,11,0,0,0,0,0,0,0,0,0,-96,0,8,1,35955803,0,82,0,0,36.428540,128,[82 -96 4 0 0 0 0 0 0 0 0 0 28 -3 28 -1 27 -1 26 0 26 2 24 3 24 4 22 5 21 4 20 5 20 4 18 4 18 4 15 4 13 3 14 2 12 1 11 0 10 -1 10 -1 9 -3 9 -4 9 -5 9 -7 9 -8 9 -8 0 0 8 -10 8 -12 8 -13 7 -13 8 -14 8 -15 8 -15 9 -16 7 -17 8 -18 7 -20 8 -19 7 -21 8 -21 8 -23 8 -24 8 -25 9 -25 9 -25 9 -25 10 -26 9 -26 10 -26 10 -28 9 -27 10 -26 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-50,11,0,0,0,0,0,0,0,0,0,-96,0,8,1,36455227,0,82,0,0,36.927950,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -16 -12 -15 -13 -16 -13 -16 -14 -15 -14 -15 -15 -15 -15 -14 -15 -14 -16 -13 -15 -15 -16 -15 -15 -14 -16 -14 -15 -13 -16 -14 -15 -13 -16 -12 -14 -13 -15 -12 -15 -12 -15 -12 -14 -11 -14 -12 -14 -12 -13 -12 -14 0 0 -12 -13 -12 -12 -13 -12 -12 -11 -12 -12 -12 -12 -12 -11 -12 -11 -12 -10 -11 -11 -12 -10 -12 -10 -12 -9 -12 -10 -11 -9 -12 -10 -11 -8 -11 -9 -10 -8 -11 -9 -11 -8 -9 -8 -11 -8 -9 -8 -10 -7 -10 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-59,11,1,6,1,1,1,0,0,0,0,-96,0,8,1,36456438,0,82,0,0,36.972687,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -20 8 -20 7 -20 7 -22 7 -21 7 -21 6 -22 6 -21 5 -22 5 -21 5 -22 5 -23 5 -22 5 -22 5 -21 4 -22 4 -22 3 -21 4 -21 4 -20 3 -21 4 -20 3 -20 3 -20 4 -19 4 -19 4 0 0 -18 4 -18 4 -18 5 -17 5 -18 4 -17 5 -17 5 -16 5 -16 5 -16 5 -15 6 -16 6 -15 6 -15 6 -15 5 -15 6 -14 6 -14 5 -14 5 -13 5 -13 5 -13 5 -12 5 -12 5 -12 5 -12 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-60,11,0,0,0,0,0,0,0,0,0,-96,0,8,1,36721845,0,82,0,0,37.194537,128,[82 -96 4 0 0 0 0 0 0 0 0 0 8 -22 9 -23 9 -24 9 -24 9 -24 10 -25 11 -25 12 -24 11 -25 11 -25 11 -27 10 -26 11 -26 10 -25 12 -24 11 -26 11 -24 10 -24 10 -24 10 -23 10 -22 9 -22 8 -21 8 -22 7 -22 7 -21 0 0 6 -20 5 -20 4 -19 3 -18 4 -18 4 -17 3 -17 3 -15 2 -14 3 -14 2 -14 3 -12 2 -11 3 -10 3 -9 3 -8 3 -7 3 -5 4 -3 4 -2 4 0 3 1 4 3 4 4 4 6 5 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,08:3A:F2:46:92:18,-56,11,0,0,0,0,0,0,0,0,0,-96,0,8,1,36861991,0,37,0,0,37.334761,128,[37 80 2 0 0 0 0 0 0 0 0 0 17 13 17 14 17 14 19 15 17 15 17 17 16 17 16 17 16 18 16 17 19 17 18 17 18 17 17 16 16 18 17 17 16 18 15 16 15 18 14 17 14 17 14 17 13 15 15 15 15 15 14 15 0 0 13 14 14 13 14 13 14 11 13 12 13 12 12 11 12 11 12 10 12 10 13 9 11 8 11 7 10 8 10 7 10 6 10 6 9 5 8 5 8 4 6 4 6 2 4 2 5 -1 5 -1 4 -1 0 0 0 0 0 0 0 0 0 0 ]
