0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
133.9,8.0,0.0,0.0,0.0,0.0,20.2,20.6,20.1,21.5,20.6,21.5,21.2,22.1,21.8,20.9,22.1,21.8,21.6,21.6,21.6,21.6,22.4,19.4,22.4,21.4,21.4,21.4,20.4,21.6,21.6,22.6,0.0,21.4,21.4,22.6,20.6,22.6,22.6,21.6,21.6,20.6,21.6,22.8,21.8,21.8,21.8,21.8,23.1,21.2,22.1,23.1,21.2,22.5,21.2,20.6,21.9,21.0,21.0,0.0,0.0,0.0,0.0,0.0
164.9,8.0,0.0,0.0,0.0,0.0,10.4,11.4,11.4,12.2,11.2,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,12.2,11.0,11.0,11.2,11.0,12.0,11.0,10.2,11.2,0.0,0.0,0.0,0.0,0.0
23.3,14.0,0.0,0.0,0.0,0.0,13.0,13.9,13.6,13.6,12.4,14.1,13.2,13.0,13.0,13.0,13.0,13.0,12.0,13.0,13.0,12.0,13.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,12.0,11.0,0.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.2,10.2,9.2,9.5,9.5,9.5,9.5,9.5,8.9,8.9,8.9,8.9,9.4,9.4,0.0,0.0,0.0,0.0,0.0
88.1,2.0,0.0,0.0,0.0,0.0,27.8,28.8,28.0,29.7,29.2,31.8,30.4,30.0,29.5,29.5,31.8,30.1,31.0,29.7,29.4,28.8,29.4,27.2,29.4,28.2,26.9,26.0,25.0,26.2,25.0,25.0,0.0,23.1,22.1,23.4,21.5,22.5,21.5,20.6,19.7,18.8,18.8,19.2,17.0,16.6,16.6,15.0,15.6,13.5,14.9,14.2,12.8,13.0,12.5,12.1,12.4,12.2,13.0,0.0,0.0,0.0,0.0,0.0
126.3,4.0,0.0,0.0,0.0,0.0,26.9,27.7,28.2,29.5,28.7,29.7,29.7,30.0,29.4,29.2,30.8,29.2,29.8,29.1,28.3,29.1,28.3,27.6,28.3,27.6,26.9,25.5,24.8,26.2,24.8,25.5,0.0,22.6,22.7,23.4,21.3,22.7,21.3,19.8,19.8,18.6,19.2,19.4,17.2,16.6,16.1,16.1,15.7,13.9,13.9,14.6,12.4,12.2,11.0,11.0,11.2,10.2,10.8,0.0,0.0,0.0,0.0,0.0
88.1,2.0,0.0,0.0,0.0,0.0,28.6,29.1,28.3,29.7,29.0,29.8,29.4,28.8,27.5,26.9,28.3,26.9,26.4,25.1,24.6,24.6,23.3,21.9,22.4,21.9,21.0,21.0,20.1,20.2,20.2,20.2,0.0,18.0,18.6,18.6,17.0,17.7,17.7,17.7,17.0,16.3,17.0,17.2,16.6,16.1,17.0,17.0,17.5,18.0,18.0,18.0,18.0,18.7,18.4,19.2,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
146.0,6.0,0.0,0.0,0.0,0.0,9.2,9.2,9.1,9.1,10.0,10.0,9.0,9.0,9.0,9.1,9.1,8.1,8.2,8.1,8.2,8.1,7.1,7.1,7.1,7.3,6.1,7.1,6.1,6.1,6.1,6.0,0.0,5.0,5.0,5.1,5.1,5.1,5.1,4.1,4.5,4.5,4.5,5.0,3.6,4.2,4.2,4.2,5.0,4.5,4.5,5.4,5.4,6.3,6.1,6.1,7.1,7.1,7.1,0.0,0.0,0.0,0.0,0.0
146.0,6.0,0.0,0.0,0.0,0.0,9.2,9.2,9.1,9.1,10.0,10.0,9.0,9.0,9.0,9.1,9.1,8.1,8.2,8.1,8.2,8.1,7.1,7.1,7.1,7.3,6.1,7.1,6.1,6.1,6.1,6.0,0.0,5.0,5.0,5.1,5.1,5.1,5.1,4.1,4.5,4.5,4.5,5.0,3.6,4.2,4.2,4.2,5.0,4.5,4.5,5.4,5.4,6.3,6.1,6.1,7.1,7.1,7.1,0.0,0.0,0.0,0.0,0.0
146.0,6.0,0.0,0.0,0.0,0.0,9.2,9.2,9.1,9.1,10.0,10.0,9.0,9.0,9.0,9.1,9.1,8.1,8.2,8.1,8.2,8.1,7.1,7.1,7.1,7.3,6.1,7.1,6.1,6.1,6.1,6.0,0.0,5.0,5.0,5.1,5.1,5.1,5.1,4.1,4.5,4.5,4.5,5.0,3.6,4.2,4.2,4.2,5.0,4.5,4.5,5.4,5.4,6.3,6.1,6.1,7.1,7.1,7.1,0.0,0.0,0.0,0.0,0.0
146.0,6.0,0.0,0.0,0.0,0.0,9.2,9.2,9.1,9.1,10.0,10.0,9.0,9.0,9.0,9.1,9.1,8.1,8.2,8.1,8.2,8.1,7.1,7.1,7.1,7.3,6.1,7.1,6.1,6.1,6.1,6.0,0.0,5.0,5.0,5.1,5.1,5.1,5.1,4.1,4.5,4.5,4.5,5.0,3.6,4.2,4.2,4.2,5.0,4.5,4.5,5.4,5.4,6.3,6.1,6.1,7.1,7.1,7.1,0.0,0.0,0.0,0.0,0.0
