type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,3C:61:05:0C:11:ED,-49,11,0,0,0,0,0,0,0,0,0,-98,0,8,1,145384,0,131,0,0,0.541893,128,[-125 48 8 0 0 0 0 0 0 0 0 0 11 17 10 18 9 18 10 19 8 19 8 20 7 20 7 21 6 21 6 20 7 21 6 21 5 21 5 21 5 21 5 21 4 22 4 19 4 22 4 21 4 21 4 21 4 20 5 21 5 21 5 22 0 0 4 21 4 21 5 22 5 20 5 22 5 22 5 21 5 21 5 20 5 21 6 22 6 21 6 21 6 21 6 21 7 22 7 20 7 21 7 22 7 20 8 21 7 20 8 19 9 20 9 19 9 19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-58,11,1,7,1,1,1,0,0,0,0,-98,0,8,1,148501,0,135,0,0,0.584811,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -10 3 -11 3 -11 3 -12 2 -11 2 -12 1 -12 1 -12 1 -11 1 -11 0 -12 1 -12 0 -12 0 -12 -1 -11 0 -12 -1 -12 0 -12 0 -12 -1 -11 -1 -12 -1 -12 -1 -11 -1 -12 -1 -12 -1 -12 -1 0 0 -12 0 -12 -1 -12 -1 -12 0 -12 0 -12 0 -12 0 -12 0 -12 0 -11 0 -11 0 -12 0 -12 0 -11 0 -11 0 -12 1 -11 1 -12 2 -11 1 -11 1 -11 2 -11 1 -12 1 -11 1 -10 2 -11 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-59,11,1,7,1,1,1,0,0,0,0,-98,0,8,1,291997,0,239,0,0,0.688284,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 5 12 5 13 4 13 4 13 3 12 2 14 2 13 1 13 1 13 1 13 0 13 0 13 -1 12 -1 13 -1 13 0 12 -1 13 0 12 -1 12 0 12 -1 12 -1 11 -1 11 0 11 0 12 -1 11 0 0 0 11 0 11 1 11 1 10 0 11 1 11 1 11 1 10 1 10 1 10 1 10 1 10 2 10 2 10 2 9 3 9 3 9 3 9 3 9 3 9 4 8 4 8 4 8 4 8 5 8 5 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-53,11,0,0,0,0,0,0,0,0,0,-97,0,8,1,2104139,0,37,0,0,2.500579,128,[37 80 2 0 0 0 0 0 0 0 0 0 -17 -22 -16 -24 -16 -23 -16 -25 -15 -25 -15 -28 -14 -27 -13 -27 -12 -27 -12 -27 -13 -29 -11 -28 -11 -29 -10 -28 -9 -28 -10 -27 -9 -28 -8 -26 -9 -28 -8 -27 -7 -26 -7 -25 -7 -24 -8 -25 -7 -24 -7 -24 0 0 -7 -22 -7 -21 -8 -22 -8 -20 -8 -21 -8 -20 -8 -19 -8 -18 -8 -17 -8 -17 -9 -17 -8 -15 -9 -14 -9 -14 -9 -12 -10 -12 -9 -10 -11 -10 -11 -9 -10 -8 -11 -7 -11 -6 -11 -5 -12 -3 -12 -2 -13 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-52,11,0,0,0,0,0,0,0,0,0,-97,0,8,1,2107904,0,82,0,0,2.549600,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -10 25 -12 25 -13 25 -14 26 -14 25 -16 25 -16 25 -18 24 -17 24 -18 23 -18 25 -18 23 -19 23 -19 22 -19 21 -19 22 -19 21 -19 20 -20 20 -19 20 -19 19 -18 18 -18 17 -18 19 -17 18 -18 18 0 0 -16 16 -15 17 -15 18 -14 16 -15 17 -14 16 -13 15 -13 15 -11 15 -12 15 -11 16 -10 14 -9 14 -8 14 -8 14 -7 14 -5 13 -5 13 -4 14 -3 12 -2 12 -1 11 0 11 2 11 2 10 4 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-52,11,0,0,0,0,0,0,0,0,0,-97,0,8,1,3968633,0,37,0,0,4.365051,128,[37 80 2 0 0 0 0 0 0 0 0 0 17 -23 19 -22 19 -21 21 -21 21 -20 23 -19 24 -17 24 -16 23 -15 23 -14 24 -15 23 -14 23 -13 22 -12 22 -11 22 -11 21 -10 20 -9 20 -10 20 -9 19 -9 19 -9 18 -9 17 -11 17 -11 17 -11 0 0 15 -10 15 -11 15 -11 13 -11 13 -12 13 -12 13 -12 12 -12 11 -12 11 -13 10 -14 9 -14 8 -14 8 -15 8 -15 7 -16 6 -17 6 -17 6 -17 6 -17 5 -18 4 -18 3 -19 1 -20 0 -20 0 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,6,8,1,4021343,0,110,0,0,4.417495,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 -2 9 -2 9 -1 9 -1 10 -1 10 -1 9 0 9 0 9 0 9 1 9 1 8 1 8 2 8 1 8 2 8 1 7 1 7 1 7 1 7 2 6 1 7 1 6 1 6 1 6 1 6 0 0 0 5 0 5 0 5 -1 5 -1 5 -1 5 -1 4 -1 4 -2 4 -2 4 -2 4 -3 3 -2 3 -3 3 -3 3 -3 3 -4 2 -4 2 -4 2 -5 2 -5 2 -6 1 -6 1 -6 1 -7 1 -7 1 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,6,8,1,4021343,0,110,0,0,4.470600,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 -2 9 -2 9 -1 9 -1 10 -1 10 -1 9 0 9 0 9 0 9 1 9 1 8 1 8 2 8 1 8 2 8 1 7 1 7 1 7 1 7 2 6 1 7 1 6 1 6 1 6 1 6 0 0 0 5 0 5 0 5 -1 5 -1 5 -1 5 -1 4 -1 4 -2 4 -2 4 -2 4 -3 3 -2 3 -3 3 -3 3 -3 3 -4 2 -4 2 -4 2 -5 2 -5 2 -6 1 -6 1 -6 1 -7 1 -7 1 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,6,8,1,4021343,0,110,0,0,4.504397,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 -2 9 -2 9 -1 9 -1 10 -1 10 -1 9 0 9 0 9 0 9 1 9 1 8 1 8 2 8 1 8 2 8 1 7 1 7 1 7 1 7 2 6 1 7 1 6 1 6 1 6 1 6 0 0 0 5 0 5 0 5 -1 5 -1 5 -1 5 -1 4 -1 4 -2 4 -2 4 -2 4 -3 3 -2 3 -3 3 -3 3 -3 3 -4 2 -4 2 -4 2 -5 2 -5 2 -6 1 -6 1 -6 1 -7 1 -7 1 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,3C:61:05:0C:11:ED,-62,11,1,6,1,1,1,1,0,0,0,-97,6,8,1,4021343,0,110,0,0,4.548737,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 -2 9 -2 9 -1 9 -1 10 -1 10 -1 9 0 9 0 9 0 9 1 9 1 8 1 8 2 8 1 8 2 8 1 7 1 7 1 7 1 7 2 6 1 7 1 6 1 6 1 6 1 6 0 0 0 5 0 5 0 5 -1 5 -1 5 -1 5 -1 4 -1 4 -2 4 -2 4 -2 4 -3 3 -2 3 -3 3 -3 3 -3 3 -4 2 -4 2 -4 2 -5 2 -5 2 -6 1 -6 1 -6 1 -7 1 -7 1 -7 0 0 0 0 0 0 0 0 0 0 ]
